Table S12.D. Example calculation for 10 year cardiovascular risk simplified models - PREVENT Enhanced for SDI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Input variables,Allowable range,Input Values,,Output: Estimated 10-year Risk ,,,,,,,,,
"Age, years",30-79 years,50,,Total CVD,,ASCVD,,Heart Failure,,Coronary Heart Disease,,Stroke,
"Total cholesterol (TC), mg/dl ",130 to 320 mg/dl,200,,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men
"High-density lipoprotein cholesterol (HDL-C), mg/dl",20 to 100 mg/dl,45,,0.1565456427896422,0.18234221797505024,0.10034803473666953,0.11373705460993858,0.08862750903165648,0.12257323285777438,0.04815889193744639,0.06244887909530149,0.058436324320371096,0.059475415120951225
"Systolic blood pressure (SBP), mmHg",90 to 200 mmHg,160,,Note: Total CVD and ASCVD risks are less than the sum of their components since some individuals will develop more than one event. ,,,,,,,,,
"Diabetes, yes=1 no=0",0 or 1,1,,,,,,,,,,,
"Current smoking (Cursmk), yes=1 no=0",0 or 1,0,,,,,,,,,,,
"Body-mass index (BMI), kg/m2",18.5 to <40 kg/m2,35,,,,,,,,,,,
"Estimated GFR (eGFR), ml/min/1.73m2",15 to 150 ml/min/1.73m2,90,,,,,,,,,,,
"Anti-hypertension medication use (Antihtn), yes=1 no=0",0 or 1,1,,,,,,,,,,,
"Statin use, yes=1 no=0",0 or 1,0,,,,,,,,,,,
"Social Deprivation Index (SDI), decile",1-10,8,,,,,,,,,,,
,,,,,,,,,,,,,
"Table. Intermediate calculations for simplified PREVENT equations: Derived variables (include centering, scaling, splines and interactions) multiplied by the respective beta coefficients then added to calculate the risk",,,,,,,,,,,,,
Input variables and intermediate derived variables formula,Derived values,Total CVD,,ASCVD,,Heart Failure,,Coronary Heart Disease,,Stroke,,,
,,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men,,
(Age-55)/10,-0.5,-0.38770415,-0.38781885,-0.35140615,-0.35750435,-0.4409578,-0.4470895,-0.37915065,-0.36869465,-0.34419085,-0.3581896,,
(TC – HDL-C) × 0.02586 (to convert to mmol/L) – 3.5,0.5083000000000002,0.011271857480000005,0.03635996975000001,0.05368044474000002,0.08271764137000003,0,0,0.08180793686000004,0.13060173789000004,0.02382478345000001,0.008506451330000003,,
(HDL-C × 0.02586 (to convert to mmol/L)  – 1.3) /0.3 ,-0.45433333333333364,0.07500261880000005,0.044378144166666696,0.06825281563333338,0.05429228813333337,0,0,0.09447430050000007,0.08632519610000006,0.04700837070000003,0.012041605233333343,,
